event_id,time_s,lat,lon,peak_vertical,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,score,priority,level,trip_id,label,notes,maps_link,peak_mag,peak_mag_g,suggested_label,suggested_raw_label,suggested_kind,suggestion_confidence,suggestion_rule,suggestion_reason,needs_review
153,1776326864.3417501,-6.8522811,109.490685,49.174983046815946,5.014452748575298,2.7153373208383336,7.604121,3.57099986076355,7.306983042732599,2,4,0.3380000591278076,0.0,0.2681984028978734,37479.66683609922,1000.3185237916576,37.46773243443166,0.3380000591278076,0.5996442793555412,medium,candidate,2ba192ad-a007-47e8-843d-e4f356c01155,,,"https://www.google.com/maps?q=-6.8522811,109.490685",93.75088,9.55992923169482,Non-Event,Non-Event,condition_like,0.7539738575600644,ML_Ensemble(RF),Dipelajari dari data (Confidence: 75%),True
419,1776417776.8287501,-6.9728204,109.484913,-36.60918531424888,-3.7330979808853058,9.036497363393572,6.203417,1.8880000114440918,7.836208335621489,1,4,0.0,0.0,0.5173349137299817,47724.235570149205,1601.5156184963473,29.799419368234297,0.1,0.5988216553764931,medium,high_conf,2403297f-866d-495e-a41b-b29966866b69,,,"https://www.google.com/maps?q=-6.9728204,109.484913",112.98434,11.521196331061066,Non-Event,Non-Event,condition_like,0.6701405340208585,ML_Ensemble(RF),Dipelajari dari data (Confidence: 67%),True
392,1776417525.828,-6.9620088,109.4894888,-55.2419579560523,-5.633112016443159,5.131807304403708,12.202927,0.0,9.032183186420081,3,3,0.17500007152557373,0.001999974250793457,0.07808537884841302,36939.56711292063,997.5608286764117,37.02988932003582,0.35000014305114746,0.5956999164953455,medium,candidate,2403297f-866d-495e-a41b-b29966866b69,,,"https://www.google.com/maps?q=-6.9620088,109.4894888",97.92897,9.985975842922915,Non-Event,Non-Event,condition_like,0.5333939763939765,ML_Ensemble(RF)_LOW_CONF,"ML ragu-ragu (Conf: 53%), pakai tebakan terbaik ML",True
276,1776412893.302333,-6.873632,109.4518159,38.60287293558784,3.936397539994579,5.799904084193118,8.766832,1.2409999370574951,8.693636106710484,2,5,1.2409999370574951,0.0,0.6564569286862192,46072.20118916005,1558.528757400617,29.56134170821458,1.2409999370574951,0.5888893202858081,medium,candidate,c72307ef-f384-4659-aded-5319b398f560,,,"https://www.google.com/maps?q=-6.873632,109.4518159",86.98176,8.869671090535505,Non-Event,Maneuver,condition_like,0.88,R5,gyro dominan + asimetri tinggi → maneuver (Non-Event),False
353,1776413948.332,-6.8244497,109.4744404,54.808246491561206,5.588885755233562,3.883899880456015,9.309556,0.34600019454956055,10.076767516717506,2,2,0.35000014305114746,0.0,0.3677550880542738,57668.137515002425,1674.174873646951,34.44570718884038,0.35000014305114746,0.5874030219732752,medium,candidate,40a7a6c4-b8d9-447a-ba96-8503647f43bb,,,"https://www.google.com/maps?q=-6.8244497,109.4744404",77.13754,7.865840016723347,Non-Event,Non-Event,condition_like,0.6614383864951817,ML_Ensemble(RF),Dipelajari dari data (Confidence: 66%),True
236,1776412519.3143332,-6.8830409,109.4373532,-49.643971372500985,-5.062276248515139,1.2253838769697847,11.661129,1.8870000839233398,10.881034462426094,2,4,0.9880001544952393,0.0,0.0067787218261339995,70523.57508046489,2568.3724062377573,27.458469372170153,0.9880001544952393,0.5855408175468972,medium,candidate,c72307ef-f384-4659-aded-5319b398f560,,,"https://www.google.com/maps?q=-6.8830409,109.4373532",91.75428,9.356332692611646,Non-Event,Non-Event,condition_like,0.8797041847041848,ML_Ensemble(RF),Dipelajari dari data (Confidence: 88%),False
86,1775973683.87325,-6.8573771,109.4534602,-44.8501079330756,-4.573438221316719,3.9373066067722626,7.2651057,1.2660000324249268,10.711964597141005,3,5,0.6345000267028809,0.189500093460083,0.7784208616395328,48537.705212562534,1192.5760757970195,40.69988167373226,1.2690000534057617,0.5842676987045253,medium,normal,cc249e1a-62c0-4274-812f-0019a041760e,,,"https://www.google.com/maps?q=-6.8573771,109.4534602",86.08282,8.778004721286067,Non-Event,Maneuver,condition_like,0.88,R5,gyro dominan + asimetri tinggi → maneuver (Non-Event),False
58,1775973462.3969998,-6.8735797,109.4508969,49.465108393581644,5.044037300564581,3.89626665605038,9.255978,0.48399996757507324,12.38375769873604,3,5,0.23299992084503174,0.027000069618225098,0.2394813923718834,54765.51285661621,1368.892716781165,40.00716209914937,0.4659998416900635,0.5830957407966909,medium,candidate,cc249e1a-62c0-4274-812f-0019a041760e,,,"https://www.google.com/maps?q=-6.8735797,109.4508969",88.36531,9.010753927182066,Non-Event,Non-Event,condition_like,0.8539122067925313,ML_Ensemble(RF),Dipelajari dari data (Confidence: 85%),False
245,1776412693.2943335,-6.8747548,109.4384443,-48.22222175999276,-4.917298135448167,2.103919513595399,8.720528,1.940000057220459,8.246727713503795,2,2,0.2070000171661377,0.0,0.3533707921310818,36682.38698564888,653.883421117997,56.09927663685184,0.2070000171661377,0.5823088013611241,medium,normal,c72307ef-f384-4659-aded-5319b398f560,,,"https://www.google.com/maps?q=-6.8747548,109.4384443",56.568535,5.7683852283909385,Non-Event,Non-Event,condition_like,0.8320913255803458,ML_Ensemble(RF),Dipelajari dari data (Confidence: 83%),False
269,1776412825.9215002,-6.8732283,109.4469633,-43.8747444341948,-4.473978823981156,4.414541280122574,8.01371,1.2730000019073486,8.633356785723773,2,3,0.192000150680542,0.0,0.8521219657640843,51332.30860699102,1140.1915346272833,45.020776775675884,0.192000150680542,0.5821384616830555,medium,candidate,c72307ef-f384-4659-aded-5319b398f560,,,"https://www.google.com/maps?q=-6.8732283,109.4469633",87.334145,8.905604360306528,Non-Event,Maneuver,condition_like,0.88,R5,gyro dominan + asimetri tinggi → maneuver (Non-Event),False
