event_id,time_s,lat,lon,peak_vertical,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,score,priority,level,trip_id,label,notes,maps_link,peak_mag,peak_mag_g,suggested_label,suggested_raw_label,suggested_kind,suggestion_confidence,suggestion_rule,suggestion_reason,needs_review
130,1775974056.7328184,-6.839335,109.4466483,-78.7916217191549,-8.034509411384612,5.143642926300507,6.366599,4.789999961853027,11.077031972706564,3,5,0.6274999380111694,0.3525000810623169,0.5210428574745805,90774.04607604782,2602.2993854297474,34.88224550542059,1.2549998760223389,13.513026129126128,0.29545454545454547,0.5909047223532822,0.017896695974852057,479.49205793922044,1762.5296535722882,360.27767391823875,0.27204765417440785,0.9191485238461046,high,high_conf,cc249e1a-62c0-4274-812f-0019a041760e,,,"https://www.google.com/maps?q=-6.839335,109.4466483",97.0251,9.89380675358048,Non-Event,Rough Road,condition_like,0.72,R7,struktur kontinu panjang + noisy/dense → Non-Event,True
127,1775974033.545522,-6.8387717,109.4476917,-98.59257333413255,-10.053644550803032,8.117005082050353,6.8344817,9.3510000705719,8.53237975397797,1,5,0.0,0.0,0.616896619233215,82238.510367207,2562.3707058199716,32.09469658247422,0.1,24.520596298623158,0.3148614609571788,2.3609828220463127,-0.2288071706399259,706.7760868606792,1566.0319003940633,289.56271856522847,0.4513165320779962,0.913765063386373,high,high_conf,cc249e1a-62c0-4274-812f-0019a041760e,,,"https://www.google.com/maps?q=-6.8387717,109.4476917",99.39769,10.13574360255541,Non-Event,Maneuver,condition_like,0.88,R5,gyro dominan + asimetri tinggi → maneuver (Non-Event),False
330,1776413742.17175,-6.8311626,109.4626186,-68.74926096275493,-7.010473603397178,6.055713750039919,5.300893,2.2249999046325684,12.226362279922544,1,3,0.0,0.0,0.22054010816249445,87809.697316187,2854.1347801746238,30.765785097243647,0.1,24.669731642567076,0.31155778894472363,1.2653710251771795,-0.17771119837815874,341.3177150268911,2314.1146885057183,198.70237664201386,0.14749386302015768,0.8739607880380467,high,candidate,40a7a6c4-b8d9-447a-ba96-8503647f43bb,,,"https://www.google.com/maps?q=-6.8311626,109.4626186",108.05836,11.018886163980564,Non-Event,Crack,condition_like,0.76,R4,spike kecil/rapat + durasi sangat singkat → Non-Event,True
346,1776413887.335,-6.8264256,109.4709843,-97.59343004838486,-9.951760290046536,5.738766542897937,9.927378,0.4269998073577881,18.952579563517986,3,4,0.21349990367889404,0.0205000638961792,0.5933795418385074,128720.5304978014,3434.7104147445025,37.47638517289678,0.4269998073577881,92.0093827189702,0.36180904522613067,3.665312763078421,-0.5450489110744274,332.4015574480088,2949.566257490521,152.74259980597208,0.11269506372035856,0.8733172036484319,high,high_conf,40a7a6c4-b8d9-447a-ba96-8503647f43bb,,,"https://www.google.com/maps?q=-6.8264256,109.4709843",105.968094,10.805738351016911,Non-Event,Maneuver,condition_like,0.88,R5,gyro dominan + asimetri tinggi → maneuver (Non-Event),False
375,1776414082.7677498,-6.8217121,109.4783806,-73.52673471705253,-7.497640347830558,6.929326292599231,1.918774,7.015000104904175,7.887162556124164,2,4,0.315000057220459,0.0,0.2909894897544638,74234.06040774546,2947.358847222342,25.186638014071036,0.315000057220459,81.3415887503476,0.3256997455470738,0.9435007676405944,-0.23199705395800108,431.2356429613411,2256.79512606522,259.3280781957807,0.1910832036943151,0.8599497987197391,high,candidate,40a7a6c4-b8d9-447a-ba96-8503647f43bb,,,"https://www.google.com/maps?q=-6.8217121,109.4783806",104.12138,10.61742593036358,Speed Bump,Speed Bump,event,0.9,R3,multi-peak terstruktur + durasi lebih panjang + shape relatif simetris,False
363,1776414016.1343334,-6.8226415,109.4774927,-74.19660098974337,-7.565947697709552,7.458329966828349,4.49699,0.748999834060669,13.95916825559318,3,6,0.36250007152557373,0.18749988079071045,0.5980525928827543,103883.38565778796,3399.7893484229016,30.555830076772754,0.7250001430511475,11.934739319844264,0.2972292191435768,2.457982644995827,-0.3965072008345915,497.91691611112515,2617.6940261953287,284.1784061164478,0.19021203812907325,0.853232523756319,high,candidate,40a7a6c4-b8d9-447a-ba96-8503647f43bb,,,"https://www.google.com/maps?q=-6.8226415,109.4774927",110.35769,11.25335257197922,Non-Event,Maneuver,condition_like,0.88,R5,gyro dominan + asimetri tinggi → maneuver (Non-Event),False
224,1776330134.249625,-6.8930405,109.531108,-64.09507358228524,-6.535878570386956,6.023662852062066,7.9686937,2.009000062942505,13.219783860221836,0,4,0.0,0.0,0.1607216070041138,178424.68755134515,3889.6846308526096,45.87124778451862,0.0,77.43505659429881,0.28463476070528965,-0.2605063389073967,-0.022185656265702132,298.6841935716186,3341.580873589194,249.4195636917964,0.0893840983598334,0.8444928561377839,high,candidate,44eda033-50cf-4664-89ef-2aa88372c53f,,,"https://www.google.com/maps?q=-6.8930405,109.531108",98.89801,10.084790422825328,Pothole,Pothole,event,0.4533333333333333,ML_Ensemble(RF)_LOW_CONF,"ML ragu-ragu (Conf: 45%), pakai tebakan terbaik ML",True
144,1776325730.048,-6.8942167,109.4198767,-95.44013991713075,-9.732185804238018,5.256872418497175,16.044407,0.24399995803833008,17.934031979717616,2,2,0.16300010681152344,0.0,0.1025672182851056,96490.15420097434,2079.8794971566226,46.392184877293445,0.16300010681152344,17.10503606784903,0.6306532663316583,5.897540786298045,-1.2191735613432142,537.2378241524758,1210.2709705903774,332.37070241376955,0.44389879354580336,0.8435290774694473,high,high_conf,d4030b3c-2d8e-49cc-9722-89da2a36bbc9,,,"https://www.google.com/maps?q=-6.8942167,109.4198767",106.40685,10.850479011691048,Pothole,Pothole,event,0.95,R1,impulse tajam + durasi pendek + accel dominan,False
128,1775974044.8795416,-6.83905,109.4471567,67.60353024821312,6.893641584864671,5.851941489048425,6.624475,9.830000162124634,10.89185481100434,3,6,0.5590000152587891,0.14300012588500977,0.778144964903508,71437.3054329218,1704.6226998795723,41.90798667415416,1.1180000305175781,123.38431888953123,0.3670886075949367,2.4397106816114507,0.036431107291638294,432.3087975644296,1068.7871127916187,203.526789523524,0.40448541340545835,0.8407171897528257,high,candidate,cc249e1a-62c0-4274-812f-0019a041760e,,,"https://www.google.com/maps?q=-6.83905,109.4471567",88.81489,9.056598328685128,Non-Event,Maneuver,condition_like,0.88,R5,gyro dominan + asimetri tinggi → maneuver (Non-Event),False
68,1775973586.0254998,-6.8655217,109.4530138,-90.09826540075844,-9.18746619903417,8.759573019464975,10.531018,0.24699997901916504,12.268135903377383,2,2,0.2109999656677246,0.0,0.11173678483765351,94341.08867921092,3339.9962139211384,28.245866943725996,0.2109999656677246,5.404891212008684,0.3813131313131313,9.5325364964921,-1.6563431529884214,455.0437155251484,2558.597036471453,326.3554619245361,0.1778489183176917,0.8321001438048026,high,high_conf,cc249e1a-62c0-4274-812f-0019a041760e,,,"https://www.google.com/maps?q=-6.8655217,109.4530138",100.90287,10.28922924750042,Speed Bump,Speed Bump,event,0.9,R3,multi-peak terstruktur + durasi lebih panjang + shape relatif simetris,False
