event_id,trip_id,label,labeled_at
1,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
2,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
3,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
4,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
5,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
6,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
7,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
8,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
9,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
10,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
11,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
13,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,2026-05-02 17:52:49
14,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
15,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
16,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
22,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
23,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
25,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
27,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
28,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
29,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
30,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
31,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
33,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
37,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
39,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
42,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
43,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
44,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
45,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
46,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
47,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
48,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
49,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
50,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
51,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
52,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
53,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
54,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
55,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
56,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
57,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
58,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
59,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
60,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
61,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
62,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
63,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
64,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
65,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
66,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,2026-05-02 17:52:49
67,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
68,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
69,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
70,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
71,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
72,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
74,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
75,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
76,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
77,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
78,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
79,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,2026-05-02 17:52:49
81,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-02 17:52:49
82,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-02 17:52:49
